customer_id,recency_days,frequency,monetary,state,customer_segment,R_Score,F_Score,M_Score,rfm_cell,rfm_score,rfm_segment,aov,clv_estimate
CUST_00001,7,7,1992.0900000000001,California,Consumer,5,3,3,533,11,Loyal Customers,284.58,2689.32
CUST_00002,362,2,706.7,North Carolina,Small Business,1,1,1,111,3,Lost Customers,353.35,954.04
CUST_00003,300,5,827.89,Florida,Corporate,1,2,1,121,4,Hibernating,165.58,1117.65
CUST_00004,55,2,582.7,New York,Consumer,3,1,1,311,5,Promising,291.35,786.65
CUST_00005,28,10,2852.33,Washington,Consumer,4,5,4,454,13,Champions,285.23,3850.65
CUST_00006,249,2,905.5999999999999,Massachusetts,Consumer,1,1,1,111,3,Lost Customers,452.8,1222.56
CUST_00007,42,5,2313.39,Texas,Consumer,4,2,4,424,10,Potential Loyalists,462.68,3123.08
CUST_00008,625,2,553.43,Georgia,Corporate,1,1,1,111,3,Lost Customers,276.71,747.13
CUST_00009,167,8,4106.860000000001,Massachusetts,Consumer,2,4,5,245,11,At Risk,513.36,5544.26
CUST_00010,76,6,2907.31,California,Corporate,3,3,4,334,10,Loyal Customers,484.55,3924.87
CUST_00011,71,10,2140.15,Illinois,Consumer,3,5,3,353,11,Loyal Customers,214.02,2889.2
CUST_00012,190,5,642.03,North Carolina,Small Business,2,2,1,221,5,Customers Needing Attention,128.41,866.74
CUST_00013,101,8,3527.52,Georgia,Corporate,2,4,5,245,11,At Risk,440.94,4762.15
CUST_00014,4,8,2960.71,Pennsylvania,Consumer,5,4,4,544,13,Champions,370.09,3996.96
CUST_00015,14,7,1734.83,Massachusetts,Consumer,5,3,3,533,11,Loyal Customers,247.83,2342.02
CUST_00016,218,4,2219.32,Ohio,Consumer,1,1,4,114,6,Lost Customers,554.83,2996.08
CUST_00017,243,2,305.34,Ohio,Consumer,1,1,1,111,3,Lost Customers,152.67,412.21
CUST_00018,448,6,4015.13,Texas,Consumer,1,3,5,135,9,Hibernating,669.19,5420.43
CUST_00019,29,11,4737.93,California,Consumer,4,5,5,455,14,Champions,430.72,6396.21
CUST_00020,196,6,1753.77,Colorado,Consumer,2,3,3,233,8,At Risk,292.3,2367.59
CUST_00021,14,7,4163.89,California,Consumer,5,3,5,535,13,Loyal Customers,594.84,5621.25
CUST_00022,10,5,3786.3999999999996,Washington,Consumer,5,2,5,525,12,Potential Loyalists,757.28,5111.64
CUST_00023,248,7,1573.4099999999999,Texas,Consumer,1,3,2,132,6,Hibernating,224.77,2124.1
CUST_00024,221,3,478.45,Texas,Consumer,1,1,1,111,3,Lost Customers,159.48,645.91
CUST_00025,48,4,1246.68,Massachusetts,Consumer,3,1,2,312,6,Promising,311.67,1683.02
CUST_00026,46,5,1886.1899999999998,New York,Corporate,3,2,3,323,8,Promising,377.24,2546.36
CUST_00027,214,4,1170.85,Colorado,Consumer,1,1,2,112,4,Lost Customers,292.71,1580.65
CUST_00028,19,6,3657.61,Florida,Consumer,5,3,5,535,13,Loyal Customers,609.6,4937.77
CUST_00029,77,9,3169.3,California,Consumer,3,5,5,355,13,Loyal Customers,352.14,4278.56
CUST_00030,274,9,3883.93,Florida,Consumer,1,5,5,155,11,Can't Lose Them,431.55,5243.31
