product_id,category_id,product_name,price,cost,stock_quantity,base_profit_margin_pct,category_name,department
PRD_0001,CAT_02,Mechanical Keyboard - Mod 859,283.76,121.48,387,57.19,Computers & Accessories,Technology
PRD_0002,CAT_02,Laptop Stand Aluminum - Mod 858,808.34,307.52,226,61.96,Computers & Accessories,Technology
PRD_0003,CAT_01,Pro Wireless Earbuds - Mod 195,235.83,124.25,23,47.31,Electronics,Technology
PRD_0004,CAT_09,Strategy Board Game - Mod 833,136.97,74.06,122,45.93,Toys & Games,Entertainment
PRD_0005,CAT_08,GPS Cycling Computer - Mod 384,289.01,101.81,422,64.77,Sports & Fitness,Outdoors
PRD_0006,CAT_03,Performance Hoodie - Mod 532,81.24,32.85,500,59.56,Apparel & Fashion,Lifestyle
PRD_0007,CAT_06,Hydrating Face Serum - Mod 194,38.45,18.29,186,52.43,Beauty & Personal Care,Lifestyle
PRD_0008,CAT_10,Car Dash Cam 4K - Mod 926,27.81,14.21,73,48.9,Automotive & Tools,Industrial
PRD_0009,CAT_07,Mastering Python & SQL - Mod 665,32.63,18.6,463,43.0,Books & Media,Entertainment
PRD_0010,CAT_06,UV Sunscreen SPF 50+ - Mod 296,60.2,22.04,126,63.39,Beauty & Personal Care,Lifestyle
PRD_0011,CAT_05,Espresso Coffee Machine - Mod 975,104.48,40.26,152,61.47,Home & Kitchen,Home
PRD_0012,CAT_08,Resistance Bands Pack - Mod 266,148.45,62.84,146,57.67,Sports & Fitness,Outdoors
PRD_0013,CAT_02,NVMe SSD 1TB - Mod 750,195.46,118.29,93,39.48,Computers & Accessories,Technology
PRD_0014,CAT_08,Insulated Hydro Water Bottle - Mod 376,346.64,198.97,295,42.6,Sports & Fitness,Outdoors
PRD_0015,CAT_04,Air Cushion Sneakers - Mod 963,158.29,58.5,430,63.04,Footwear,Lifestyle
PRD_0016,CAT_01,Action Camera - Mod 423,390.98,145.9,477,62.68,Electronics,Technology
PRD_0017,CAT_10,Car Dash Cam 4K - Mod 317,137.97,67.39,478,51.16,Automotive & Tools,Industrial
PRD_0018,CAT_08,Adjustable Dumbbell Set - Mod 371,74.67,45.6,285,38.93,Sports & Fitness,Outdoors
PRD_0019,CAT_05,Stainless Steel Knife Set - Mod 698,167.09,92.61,195,44.57,Home & Kitchen,Home
PRD_0020,CAT_04,Leather Oxford Dress Shoes - Mod 621,108.82,66.87,450,38.55,Footwear,Lifestyle
PRD_0021,CAT_02,Ergonomic Gaming Mouse - Mod 742,185.97,109.38,315,41.18,Computers & Accessories,Technology
PRD_0022,CAT_02,"UltraWide Monitor 34"" - Mod 490",556.5,285.94,138,48.62,Computers & Accessories,Technology
PRD_0023,CAT_09,STEM Robotics Kit - Mod 796,149.72,88.12,284,41.14,Toys & Games,Entertainment
PRD_0024,CAT_05,Stainless Steel Knife Set - Mod 448,65.69,32.99,242,49.78,Home & Kitchen,Home
PRD_0025,CAT_01,HD Webcam - Mod 996,661.72,456.69,400,30.98,Electronics,Technology
PRD_0026,CAT_03,Leather Casual Belt - Mod 208,176.68,80.29,337,54.56,Apparel & Fashion,Lifestyle
PRD_0027,CAT_09,3D Puzzle Set - Mod 303,47.5,29.3,286,38.32,Toys & Games,Entertainment
PRD_0028,CAT_09,STEM Robotics Kit - Mod 713,78.34,27.95,485,64.32,Toys & Games,Entertainment
PRD_0029,CAT_06,Argan Oil Hair Mask - Mod 345,16.87,11.09,494,34.26,Beauty & Personal Care,Lifestyle
PRD_0030,CAT_02,Mechanical Keyboard - Mod 849,463.08,173.3,399,62.58,Computers & Accessories,Technology
PRD_0031,CAT_09,Strategy Board Game - Mod 231,138.75,94.54,94,31.86,Toys & Games,Entertainment
PRD_0032,CAT_05,Cast Iron Skillet Set - Mod 993,224.1,154.07,485,31.25,Home & Kitchen,Home
PRD_0033,CAT_09,Strategy Board Game - Mod 830,76.1,53.14,342,30.17,Toys & Games,Entertainment
PRD_0034,CAT_06,Organic Body Wash - Mod 629,43.24,18.89,42,56.31,Beauty & Personal Care,Lifestyle
PRD_0035,CAT_06,Hydrating Face Serum - Mod 702,50.1,27.85,13,44.41,Beauty & Personal Care,Lifestyle
PRD_0036,CAT_02,Laptop Stand Aluminum - Mod 746,100.03,37.37,26,62.64,Computers & Accessories,Technology
PRD_0037,CAT_06,Hydrating Face Serum - Mod 626,28.94,16.91,119,41.57,Beauty & Personal Care,Lifestyle
PRD_0038,CAT_09,Strategy Board Game - Mod 840,188.38,103.58,252,45.02,Toys & Games,Entertainment
PRD_0039,CAT_04,Lightweight Sandals - Mod 926,93.26,35.72,347,61.7,Footwear,Lifestyle
PRD_0040,CAT_07,Deep Learning Fundamentals - Mod 533,40.53,26.44,37,34.76,Books & Media,Entertainment
PRD_0041,CAT_02,Mechanical Keyboard - Mod 512,668.97,421.59,65,36.98,Computers & Accessories,Technology
PRD_0042,CAT_04,Leather Oxford Dress Shoes - Mod 294,116.52,46.5,103,60.09,Footwear,Lifestyle
PRD_0043,CAT_05,Memory Foam Pillow - Mod 355,309.83,116.62,423,62.36,Home & Kitchen,Home
PRD_0044,CAT_09,STEM Robotics Kit - Mod 151,137.38,74.08,17,46.08,Toys & Games,Entertainment
PRD_0045,CAT_02,Wireless Router Wi-Fi 6E - Mod 969,250.91,123.51,256,50.78,Computers & Accessories,Technology
PRD_0046,CAT_04,Lightweight Sandals - Mod 160,49.62,17.4,209,64.93,Footwear,Lifestyle
PRD_0047,CAT_05,Memory Foam Pillow - Mod 392,165.35,113.27,411,31.5,Home & Kitchen,Home
PRD_0048,CAT_09,Wooden Building Blocks - Mod 258,54.17,23.09,39,57.37,Toys & Games,Entertainment
PRD_0049,CAT_10,Microfiber Towel Set - Mod 162,154.63,57.21,309,63.0,Automotive & Tools,Industrial
PRD_0050,CAT_08,GPS Cycling Computer - Mod 973,199.95,73.96,270,63.01,Sports & Fitness,Outdoors
PRD_0051,CAT_02,Wireless Router Wi-Fi 6E - Mod 290,108.23,40.45,451,62.63,Computers & Accessories,Technology
PRD_0052,CAT_04,Lightweight Sandals - Mod 222,189.48,104.1,306,45.06,Footwear,Lifestyle
PRD_0053,CAT_10,Digital Tire Inflaters - Mod 734,34.75,20.16,299,41.99,Automotive & Tools,Industrial
PRD_0054,CAT_09,Remote Control Drone - Mod 367,56.76,34.09,132,39.94,Toys & Games,Entertainment
PRD_0055,CAT_05,Memory Foam Pillow - Mod 234,244.93,111.44,171,54.5,Home & Kitchen,Home
PRD_0056,CAT_02,Mechanical Keyboard - Mod 569,577.98,316.18,61,45.3,Computers & Accessories,Technology
PRD_0057,CAT_02,NVMe SSD 1TB - Mod 318,479.99,190.25,188,60.36,Computers & Accessories,Technology
PRD_0058,CAT_02,Ergonomic Gaming Mouse - Mod 478,292.23,147.1,288,49.66,Computers & Accessories,Technology
PRD_0059,CAT_05,Cast Iron Skillet Set - Mod 926,239.26,84.4,428,64.72,Home & Kitchen,Home
PRD_0060,CAT_09,Remote Control Drone - Mod 779,38.64,25.4,145,34.27,Toys & Games,Entertainment
PRD_0061,CAT_02,Mechanical Keyboard - Mod 860,520.23,231.67,319,55.47,Computers & Accessories,Technology
PRD_0062,CAT_04,Air Cushion Sneakers - Mod 308,143.74,93.22,268,35.15,Footwear,Lifestyle
PRD_0063,CAT_08,Resistance Bands Pack - Mod 966,46.25,26.45,434,42.81,Sports & Fitness,Outdoors
PRD_0064,CAT_05,Espresso Coffee Machine - Mod 103,136.73,54.12,144,60.42,Home & Kitchen,Home
PRD_0065,CAT_03,Performance Hoodie - Mod 552,119.29,59.61,14,50.03,Apparel & Fashion,Lifestyle
PRD_0066,CAT_02,Mechanical Keyboard - Mod 807,818.33,442.68,437,45.9,Computers & Accessories,Technology
PRD_0067,CAT_06,UV Sunscreen SPF 50+ - Mod 665,22.91,9.04,167,60.54,Beauty & Personal Care,Lifestyle
PRD_0068,CAT_06,Hydrating Face Serum - Mod 466,27.07,11.84,62,56.26,Beauty & Personal Care,Lifestyle
PRD_0069,CAT_06,UV Sunscreen SPF 50+ - Mod 995,40.22,22.81,89,43.29,Beauty & Personal Care,Lifestyle
PRD_0070,CAT_04,Leather Oxford Dress Shoes - Mod 919,165.93,109.26,22,34.15,Footwear,Lifestyle
PRD_0071,CAT_03,Performance Hoodie - Mod 440,160.82,79.46,352,50.59,Apparel & Fashion,Lifestyle
PRD_0072,CAT_04,Air Cushion Sneakers - Mod 263,161.72,62.72,456,61.22,Footwear,Lifestyle
PRD_0073,CAT_01,Action Camera - Mod 581,239.06,152.0,245,36.42,Electronics,Technology
PRD_0074,CAT_06,Argan Oil Hair Mask - Mod 940,66.28,28.48,22,57.03,Beauty & Personal Care,Lifestyle
PRD_0075,CAT_04,Lightweight Sandals - Mod 436,70.14,26.25,405,62.57,Footwear,Lifestyle
PRD_0076,CAT_05,Robot Vacuum Cleaner - Mod 756,193.0,113.45,441,41.22,Home & Kitchen,Home
PRD_0077,CAT_09,Remote Control Drone - Mod 128,40.75,28.1,101,31.04,Toys & Games,Entertainment
PRD_0078,CAT_10,Car Dash Cam 4K - Mod 139,39.5,19.83,383,49.8,Automotive & Tools,Industrial
PRD_0079,CAT_06,Organic Body Wash - Mod 720,78.93,30.82,470,60.95,Beauty & Personal Care,Lifestyle
PRD_0080,CAT_10,OBD2 Scanner Diagnostic - Mod 360,27.98,14.06,276,49.75,Automotive & Tools,Industrial
PRD_0081,CAT_09,Strategy Board Game - Mod 472,97.62,66.59,481,31.79,Toys & Games,Entertainment
PRD_0082,CAT_06,UV Sunscreen SPF 50+ - Mod 421,57.44,22.61,470,60.64,Beauty & Personal Care,Lifestyle
PRD_0083,CAT_05,Cast Iron Skillet Set - Mod 416,243.4,112.98,366,53.58,Home & Kitchen,Home
PRD_0084,CAT_05,Cast Iron Skillet Set - Mod 230,91.38,53.25,204,41.73,Home & Kitchen,Home
PRD_0085,CAT_03,Leather Casual Belt - Mod 682,74.16,40.18,10,45.82,Apparel & Fashion,Lifestyle
PRD_0086,CAT_05,Robot Vacuum Cleaner - Mod 315,167.55,92.65,345,44.7,Home & Kitchen,Home
PRD_0087,CAT_06,Organic Body Wash - Mod 552,42.61,18.1,252,57.52,Beauty & Personal Care,Lifestyle
PRD_0088,CAT_03,Performance Hoodie - Mod 186,71.07,41.39,327,41.76,Apparel & Fashion,Lifestyle
