seller_id,seller_name,state,city,seller_rating
SLR_001,Apex Enterprise Group 1,Florida,Orlando,4.79
SLR_002,Apex Enterprise Group 2,California,San Diego,4.07
SLR_003,Apex Enterprise Group 3,Florida,Miami,4.48
SLR_004,Apex Logistics Hub 4,Texas,Austin,3.93
SLR_005,Apex Enterprise Group 5,Texas,Dallas,3.97
SLR_006,Apex Global Trading 6,Florida,Miami,3.88
SLR_007,Apex Direct Retail 7,Texas,Houston,4.48
SLR_008,Apex Logistics Hub 8,Florida,Orlando,3.94
SLR_009,Apex Enterprise Group 9,Florida,Orlando,4.26
SLR_010,Apex Imports Co 10,Florida,Miami,4.42
SLR_011,Apex Tech Solutions 11,Colorado,Denver,4.49
SLR_012,Apex Enterprise Group 12,Georgia,Atlanta,4.17
SLR_013,Apex Tech Solutions 13,Florida,Miami,3.91
SLR_014,Apex Enterprise Group 14,California,Los Angeles,4.74
SLR_015,Apex Global Trading 15,California,San Francisco,4.34
SLR_016,Apex Direct Retail 16,Colorado,Denver,4.01
SLR_017,Apex Enterprise Group 17,Georgia,Atlanta,4.74
SLR_018,Apex Logistics Hub 18,California,San Diego,4.2
SLR_019,Apex Direct Retail 19,Illinois,Chicago,4.57
SLR_020,Apex Direct Retail 20,Texas,Houston,4.27
SLR_021,Apex Direct Retail 21,Pennsylvania,Philadelphia,4.56
SLR_022,Apex Imports Co 22,Massachusetts,Boston,3.84
SLR_023,Apex Direct Retail 23,California,San Diego,4.09
SLR_024,Apex Logistics Hub 24,New York,New York City,4.79
SLR_025,Apex Enterprise Group 25,California,Los Angeles,4.8
SLR_026,Apex Logistics Hub 26,Colorado,Denver,3.86
SLR_027,Apex Direct Retail 27,North Carolina,Raleigh,4.52
SLR_028,Apex Enterprise Group 28,Pennsylvania,Philadelphia,4.31
SLR_029,Apex Global Trading 29,California,San Francisco,4.11
SLR_030,Apex Direct Retail 30,New York,Buffalo,4.3
SLR_031,Apex Tech Solutions 31,Pennsylvania,Philadelphia,3.83
SLR_032,Apex Enterprise Group 32,Texas,Dallas,3.98
SLR_033,Apex Tech Solutions 33,Ohio,Columbus,4.44
SLR_034,Apex Global Trading 34,California,San Diego,4.94
SLR_035,Apex Logistics Hub 35,New York,New York City,4.89
SLR_036,Apex Logistics Hub 36,New York,Buffalo,4.87
SLR_037,Apex Imports Co 37,Florida,Orlando,4.61
SLR_038,Apex Logistics Hub 38,Georgia,Atlanta,4.93
SLR_039,Apex Logistics Hub 39,Texas,Dallas,4.43
SLR_040,Apex Global Trading 40,Massachusetts,Boston,4.86
